text,mood
"I am feeling great today",happy
"Life is awesome and joyful",happy
"so much fun and laughter",happy
"I am excited about the future",happy
"Today is such a wonderful day",happy
"My heart feels full of joy",happy
"Everything feels positive and bright",happy
"I want to dance and smile all day",happy
"This is the best day ever",happy
"I am grateful and cheerful",happy
"I feel lonely and broken",sad
"My heart is full of pain",sad
"Tears keep falling from my eyes",sad
"I am feeling low and hopeless",sad
"I miss someone so much",sad
"I am heartbroken and empty inside",sad
"Life feels dark and empty",sad
"I just want to cry today",sad
"I feel depressed and down",sad
"I am lost in sadness",sad
"I am in love with her",romantic
"Romantic dinner tonight",romantic
"My heart beats only for you",romantic
"You are the love of my life",romantic
"I feel so close to you",romantic
"My soulmate is everything to me",romantic
"Love is in the air",romantic
"She is so beautiful",romantic
"He is my true love",romantic
"I want to hold your hand forever",romantic
"Let’s hit the gym",workout
"Time for a heavy workout",workout
"I need energy boost",workout
"Training hard for fitness",workout
"Push harder, feel stronger",workout
"Fitness is my lifestyle",workout
"Keep lifting and grinding",workout
"Time for cardio and sweat",workout
"Workout makes me feel alive",workout
"Never skip training",workout
"Rap beats are fire",rap
"Love desi hip hop",rap
"I am spitting bars today",rap
"This beat goes hard",rap
"Rap game is strong",rap
"Time for freestyle rap",rap
"I love trap beats",rap
"Rapping makes me feel powerful",rap
"Rap is life",rap
"Bars after bars nonstop",rap
